,name,Position,Academic Year,Height,Weight,Hometown,High School,Year,sport,Sport
21,Desmonae Gray, Jumps/Hurdles, Fr.,NA,NA," Chesapeake, Va.", Western Branch,2011,womens-track-and-field,
22,Meghan Gullman, Distance, Sr.,NA,NA," Jacksonville, FL", Bartram Trail,2011,womens-track-and-field,
23,Linden Hall, Distance/Mid-Distance, Fr.,NA,NA," Melborne, Australia", Univ. of Melbourne,2011,womens-track-and-field,
24,Amy Harris, Long Jump, Sr.,NA,NA," Birmingham, England", Cadbury College,2011,womens-track-and-field,
25,Caitlin Henderson, Hurdles, Fr.,NA,NA," Hopewell, N.J.", Hopewell Valley Central,2011,womens-track-and-field,
26,Mollie Hibbard, Distance, So.,NA,NA," Satellite Beach, Fla.", Satellite,2011,womens-track-and-field,
27,Elizabeth Ichite, Sprints, So.,NA,NA," Tallahassee, Fla.", Florida High,2011,womens-track-and-field,
28,Izehi Ileso, Tripple Jump, So.,NA,NA," Gothenburg, Sweden", Angeredsgymnasiet,2011,womens-track-and-field,
29,Kaitlyn Iselborn, Distance, R-So.,NA,NA," Jacksonville, Fla.", Bolles,2011,womens-track-and-field,
30,Karly Jackson, Pole Vault, Fr.,NA,NA," Orlando, Fla.", Bishop Moore,2011,womens-track-and-field,
31,Danielle Jeffery, Sprints, Sr.,NA,NA," Kingston, Jamaica", Immaculate Conception,2011,womens-track-and-field,
32,Michelle Jenije, Triple Jump, Sr.,NA,NA," Tallahassee, Fla.", North Florida Christian,2011,womens-track-and-field,
33,Lakitta Johnson, Throws, Fr.,NA,NA," Ocala, Fla.", North Marion,2011,womens-track-and-field,
34,Violah Lagat, Distance, Sr.,NA,NA," Kipsirwo, Kenya", Central Arizona,2011,womens-track-and-field,
35,Taylor Leedy,NA, Jr.,NA,NA," Jacksonville, FL", Mandarin,2011,womens-track-and-field,
36,Astrid Leutert, Distance, Sr.,NA,NA," Thun, Switzerland", Gymnasium Hofwil,2011,womens-track-and-field,
37,Michelle Lewis, Distance, Sr.,NA,NA," Sunrise, Fla.", Piper,2011,womens-track-and-field,
38,Brittany Linder, Throws, R-Jr.,NA,NA," Fort Lauderdale, Fla.", St. Thomas Aquinas,2011,womens-track-and-field,
39,Alejandra Martinez, Multis, Fr.,NA,NA," Potomac, Md.", Winston Churchill,2011,womens-track-and-field,
40,Morgan Mcghee, Sprints, So.,NA,NA," McDonough, Ga.", Woodland,2011,womens-track-and-field,
41,Katherine Mcmeekin, Distance, Jr.,NA,NA," Palm Harbor, Fla.", East Lake,2011,womens-track-and-field,
42,Emily Ness, Distance, Sr.,NA,NA," Tallahassee, Fla.", Maclay,2011,womens-track-and-field,
43,Allyson Pagan, Distance, So.,NA,NA," Melbourne, Fla.", Holy Trinity,2011,womens-track-and-field,
44,Jessica Parry, Distance, R-So.,NA,NA," London, Ontario", Catholic Central,2011,womens-track-and-field,
45,Marecia Pemberton, Sprints, So.,NA,NA," Basse Terre, St. Kitts & Nevis", C.F.B College,2011,womens-track-and-field,
46,Colleen Quigley, Distance/Steeplechase, Fr.,NA,NA," St. Louis, Mo.", Nerinx Hall,2011,womens-track-and-field,
47,Lauren Ross, Distance, So.,NA,NA," Parkland, FL", Marjory Stoneman Douglas,2011,womens-track-and-field,
48,Shanea Rufus, Throws, R-So.,NA,NA," Jacksonville, Fla.", Robert E. Lee,2011,womens-track-and-field,
49,Shelby Salimone, Distance, So.,NA,NA," Tallahassee, Fla.", Maclay,2011,womens-track-and-field,
50,Colleen Schwab, High Jump, R-So.,NA,NA," Seminole, Fla.", Seminole,2011,womens-track-and-field,
51,Michelle Sewell, Triple Jump, R-Fr.,NA,NA," London, England", Cypress Bay,2011,womens-track-and-field,
52,Bianca Smith, Sprints, So.,NA,NA," Fort Lauderdale, Fla.", Fort Lauderdale,2011,womens-track-and-field,
53,Kara Taylor, Distance, Sr.,NA,NA," Tallahassee, Fla.", Chiles,2011,womens-track-and-field,
54,Laura Turner, Distance, So.,NA,NA," Fort Myers, Fla.", Fort Myers,2011,womens-track-and-field,
55,Kayleigh Tyerman, Distance, Jr.,NA,NA," Central Point, Ore.", Crater,2011,womens-track-and-field,
56,Chelsea Whalen, Throws, So.,NA,NA," Liverpool, Nova Scotia, Canada", Liverpool Regional,2011,womens-track-and-field,
57,Chelsi Woodruff, Distance, So.,NA,NA," Winter Park, Fla.", Trinity Prep,2011,womens-track-and-field,
58,Aubree Worden, Distance, Fr.,NA,NA," Scottsbluff, Neb.", Scottsbluff,2011,womens-track-and-field,
59,Margo Zwerling, Jumps, Sr.,NA,NA," Miami, Fla.", Ransom Everglades,2011,womens-track-and-field,
0,Hannah Acton, Pole Vault, Fr.,NA,NA," Bloomington, Ind.", Bloomington South,2012,womens-track-and-field,
1,Alicia Aldridge, Distance, Jr.,NA,NA," Palm Harbor, Fla.", East Lake,2012,womens-track-and-field,
2,Kendall Andrews, Distance, Fr.,NA,NA," Tallahassee, Fla.", Chiles,2012,womens-track-and-field,
3,Kassel Ardaman, Distance, Fr.,NA,NA," Orlando, Fla.", Dr. Phillips,2012,womens-track-and-field,
4,Marsha Ariol, Sprints/Hurdles, Jr.,NA,NA," Southwest Ranches, Fla.", Archbishop McCarthy,2012,womens-track-and-field,
5,Hollis Bartlett, Distance, Fr.,NA,NA," Fort Myers, Fla.", Fort Myers,2012,womens-track-and-field,
6,Alexis Beaudoin, Distance, So.,NA,NA," Melbourne, FL", Melbourne,2012,womens-track-and-field,
7,Bridget Blake, Distance, Fr.,NA,NA," Orlando, Fla.", Dr. Phillips,2012,womens-track-and-field,
8,Erica Boccumini, Distance, So.,NA,NA," Orlando, Fla.", Olympia,2012,womens-track-and-field,
9,Maryke Brits, Long Jump, Fr.,NA,NA," Stellenbosch, South Africa", Bloemhof High School,2012,womens-track-and-field,
10,Chantelle Brodie, Distance, Fr.,NA,NA," Stuart, Fla.", Martin County,2012,womens-track-and-field,
11,Kiera Brown, Sprints, Fr.,NA,NA," Chesapeake, Va. / G.",NA,2012,womens-track-and-field,
12,Jessica Butler, Distance, Gr.,NA,NA," Fort Lauderdale, Fla.", Saint Thomas Aquinas,2012,womens-track-and-field,
13,Breeanne Campbell, Throws, So.,NA,NA," Bradenton, Fla.", Manatee,2012,womens-track-and-field,
14,Sarah Chandler, Sprints/Hurdles, So.,NA,NA," Lorton, Va.", South County,2012,womens-track-and-field,
15,Erika Charlassier, Distance, Jr.,NA,NA," Coral Springs, Fla.", Coral Springs,2012,womens-track-and-field,
16,Briana Cherry-Bronson, Throws, So.,NA,NA," Naples, Fla.", Naples,2012,womens-track-and-field,
17,Natalie Concepcion, Middle Distance, Fr.,NA,NA," Miami, Fla./Ferguson",NA,2012,womens-track-and-field,
18,Stephanie Cook, Pole Vault, Fr.,NA,NA," Clermont, Fla.", East Ridge,2012,womens-track-and-field,
19,Julia Corley, Distance, Fr.,NA,NA," West Palm Beach, Fla.", Kings Academy,2012,womens-track-and-field,
20,Kali Davis-White, Sprints, Fr.,NA,NA," Lauderdale Lakes, Fla.", Boyd Anderson,2012,womens-track-and-field,
21,Stacey Drilling, High Jump, Fr.,NA,NA," Jacksonville, Fla.", Bishop Kenny,2012,womens-track-and-field,
22,Jennifer Dunn, Distance, Sr.,NA,NA," Decatur, Ala./Austin",NA,2012,womens-track-and-field,
23,Der’Renae Freeman, Sprints/Long Jump, Fr.,NA,NA," Winter Garden, Fla.", West Orange,2012,womens-track-and-field,
24,Lauren Gelzinis, Distance, Jr.,NA,NA," Stuart, FL", South Fork,2012,womens-track-and-field,
25,Desmonae Gray, Jumps/Hurdles, So.,NA,NA," Chesapeake, Va.", Western Branch,2012,womens-track-and-field,
26,Christine Griggs, Distance, Fr.,NA,NA," Ponte Vedra Beach, Fla.", Episcopal,2012,womens-track-and-field,
27,Linden Hall, Distance/Mid-Distance, So.,NA,NA," Melborne, Australia", Univ. of Melbourne,2012,womens-track-and-field,
28,Anne Harwig, Pole Vault, Fr.,NA,NA, /,NA,2012,womens-track-and-field,
29,Mollie Hibbard, Distance, Jr.,NA,NA," Satellite Beach, Fla.", Satellite,2012,womens-track-and-field,
30,Anna Holdiman, Distance, Fr.,NA,NA," Waverly, Iowa", Waverly-Shellrock,2012,womens-track-and-field,
31,Elizabeth Ichite, Sprints, Jr.,NA,NA," Tallahassee, Fla.", Florida High,2012,womens-track-and-field,
32,Izehi Ileso, Tripple Jump, Jr.,NA,NA," Gothenburg, Sweden", Angeredsgymnasiet,2012,womens-track-and-field,
33,Karly Jackson, Pole Vault, R-Fr.,NA,NA," Orlando, Fla.", Bishop Moore,2012,womens-track-and-field,
34,Lakitta Johnson, Throws, So.,NA,NA," Ocala, Fla.", North Marion,2012,womens-track-and-field,
35,Kaitlyn Kelly, Distance, Fr.,NA,NA," Port Orange, Fla.", Spruce Creek,2012,womens-track-and-field,
36,Kellion Knibb, Throws, Fr.,NA,NA," St. Catherine, Jamaica", St. Jago,2012,womens-track-and-field,
37,Taylor Leedy,NA, Sr.,NA,NA," Jacksonville, FL", Mandarin,2012,womens-track-and-field,
38,Brittany Linder, Throws, Sr.,NA,NA," Fort Lauderdale, Fla.", St. Thomas Aquinas,2012,womens-track-and-field,
39,Ewa Marcinkiewicz, Jumps/Multi, Fr.,NA,NA," Stockhom, Sweden/",NA,2012,womens-track-and-field,
40,Alejandra Martinez, Multis, So.,NA,NA," Potomac, Md.", Winston Churchill,2012,womens-track-and-field,
41,Maggie Mccloskey, Distance, So.,NA,NA," Gainesville, Fla.", St. Francis Catholic,2012,womens-track-and-field,
42,Katherine Mccoy, Distance, Fr.,NA,NA," Altamonte Springs, Fla.", Lake Brantly,2012,womens-track-and-field,
43,Patterson Mcdulin, Distance, Fr.,NA,NA," Palm Beach Gardens, Fla./Dwyer",NA,2012,womens-track-and-field,
44,Katherine Mcmeekin, Distance, Sr.,NA,NA," Palm Harbor, Fla.", East Lake,2012,womens-track-and-field,
45,Alex Midgett, Distance, Fr.,NA,NA," Orange Park, Fla.",NA,2012,womens-track-and-field,
46,Melissa Monroe, Distance, Fr.,NA,NA," Punta Gorda, Fla./Charlotte",NA,2012,womens-track-and-field,
47,Shannon Morris, Distance, Fr.,NA,NA," St. Johns, Fla./Creekside",NA,2012,womens-track-and-field,
48,Kelly Neumayer, Distance, Fr.,NA,NA," Orlando, Fla./Lake Highland Prep",NA,2012,womens-track-and-field,
49,Sydnee Over, Mid-Distance, Fr.,NA,NA," Windsor, Conn.", Windsor,2012,womens-track-and-field,
50,Allyson Pagan, Distance, Jr.,NA,NA," Melbourne, Fla.", Holy Trinity,2012,womens-track-and-field,
51,Jessica Parry, Distance, R-So.,NA,NA," London, Ontario", Catholic Central,2012,womens-track-and-field,
52,Georgia Peel, Mid-Distance, Fr.,NA,NA," Chobham, Surrey, UK", Gordon's School,2012,womens-track-and-field,
53,Marecia Pemberton, Sprints, Jr.,NA,NA," Basse Terre, St. Kitts & Nevis", C.F.B College,2012,womens-track-and-field,
54,Christina Phipps, Distance, Fr.,NA,NA," Jacksonville, Fla.", Bishop Kenny,2012,womens-track-and-field,
55,Jande Pierce, Sprints, R-Fr.,NA,NA," Stone Mountain, Ga.", DeKalb School of Arts,2012,womens-track-and-field,
56,Ariadna Pulido, Distance, So.,NA,NA," Parkland, Fla.", Douglas,2012,womens-track-and-field,
57,Colleen Quigley, Distance/Steeplechase, So.,NA,NA," St. Louis, Mo.", Nerinx Hall,2012,womens-track-and-field,
58,Victoria Reiman, Throws, Fr.,NA,NA," Jacksonville, Fla.", Bolles,2012,womens-track-and-field,
59,Lauren Ross, Distance, Jr.,NA,NA," Parkland, FL", Marjory Stoneman Douglas,2012,womens-track-and-field,
60,Shelby Salimone, Distance, Jr.,NA,NA," Tallahassee, Fla.", Maclay,2012,womens-track-and-field,
61,Madison Schmidt, Pole Vault, Fr.,NA,NA," Sarasota, Fla.", Riverview,2012,womens-track-and-field,
62,Oyuki Segura, Distance, Jr.,NA,NA," Homestead, Fla.", Coral Reef,2012,womens-track-and-field,
63,Nicole Setterington, Hurdles, Fr.,NA,NA," London, Ontario, Canada", Oakridge,2012,womens-track-and-field,
64,Michelle Sewell, Triple Jump, So.,NA,NA," London, England", Cypress Bay,2012,womens-track-and-field,
65,Dana Slomins, Distance, Fr.,NA,NA," Melbourne, Fla.", Holy Trinity,2012,womens-track-and-field,
66,Bianca Smith,NA, Jr.,NA,NA," Fort Lauderdale, Fla.", Fort Lauderdale,2012,womens-track-and-field,
67,Megan Smith, Distance, Fr.,NA,NA," Memphis, Tenn.", Wharton,2012,womens-track-and-field,
68,Alexia Swanson, Distance, Fr.,NA,NA," Clearwater, Fla.", Countryside,2012,womens-track-and-field,
69,Jensen Swopes, Distance, So.,NA,NA," Altamonte Springs, Fla.", Bishop Moore,2012,womens-track-and-field,
70,Carly Thomas, Distance, Fr.,NA,NA," Tallahassee, Fla.", Chiles,2012,womens-track-and-field,
71,Kayleigh Tyerman, Distance, Sr.,NA,NA," Central Point, Ore.", Crater,2012,womens-track-and-field,
72,Katja Vangsnes, Throws, Fr.,NA,NA," Oslo, Norway", Wang Eoppidrett,2012,womens-track-and-field,
73,Rachel Walker,NA, So.,NA,NA," Port Orange, Fla.", Sprucecreek,2012,womens-track-and-field,
74,Sage Watson, Sprints/Hurdles, Fr.,NA,NA," Medicine Hat, Alberta, Canada", Medicine Hat,2012,womens-track-and-field,
75,Hannah Welsh, High Jump/Multis, Fr.,NA,NA," Dunedin, Fla.", Dunedin,2012,womens-track-and-field,
76,Chelsea Whalen, Throws, Jr.,NA,NA," Liverpool, Nova Scotia, Canada", Liverpool Regional,2012,womens-track-and-field,
77,Sierra Williams, Sprints, Fr.,NA,NA," Cedaredge, CO", Cedaredge,2012,womens-track-and-field,
78,Amanda Winslow, Distance, Sr.,NA,NA," Lawrenceville, Ga.", Collins Hill,2012,womens-track-and-field,
79,Alexandria Woodruff, Pole Vault, Fr.,NA,NA," Lake Mary, Fla.", Lake Mary,2012,womens-track-and-field,
80,Chelsi Woodruff, Distance, Jr.,NA,NA," Winter Park, Fla.", Trinity Prep,2012,womens-track-and-field,
81,Pippa Woolven, Distance/Steeplechase, So.,NA,NA," Marlow, Buckinghamshire, UK", Univ. of Birmingham,2012,womens-track-and-field,
82,Pippa Woolven, Distance/Steeplechase, Fr.,NA,NA," Marlow, Buckinghamshire, UK", Univ. of Birmingham,2012,womens-track-and-field,
83,Aubree Worden, Distance, So.,NA,NA," Scottsbluff, Neb.", Scottsbluff,2012,womens-track-and-field,
84,Anne Zagre, Sprints/Hurdles, So.,NA,NA," Brussels, Belgium",NA,2012,womens-track-and-field,
0,Hannah Acton, Pole Vault, So.,NA,NA," Bloomington, Ind.", Bloomington South,2013,womens-track-and-field,
1,Alicia Aldridge, Distance, Sr.,NA,NA," Palm Harbor, Fla.", East Lake,2013,womens-track-and-field,
2,Kassel Ardaman, Distance, So.,NA,NA," Orlando, Fla.", Dr. Phillips,2013,womens-track-and-field,
3,Marsha Ariol, Sprints/Hurdles, Sr.,NA,NA," Southwest Ranches, Fla.", Archbishop McCarthy,2013,womens-track-and-field,
4,Hollis Bartlett, Distance, So.,NA,NA," Fort Myers, Fla.", Fort Myers,2013,womens-track-and-field,
5,Bridget Blake, Distance/Steeplechase, Fr.,NA,NA," Orlando, Fla.", Dr. Phillips,2013,womens-track-and-field,
6,Maryke Brits, Long Jump, So.,NA,NA," Stellenbosch, South Africa", Bloemhof High School,2013,womens-track-and-field,
7,Chantelle Brodie, Distance, So.,NA,NA," Stuart, Fla.", Martin County,2013,womens-track-and-field,
8,Kiera Brown, Sprints, Fr.,NA,NA," Chesapeake, Va. / G.",NA,2013,womens-track-and-field,
9,Jessica Butler, distance, Gr.,NA,NA," Fort Lauderdale, Fla.", Saint Thomas Aquinas,2013,womens-track-and-field,
10,Breeanne Campbell, Throws, Jr.,NA,NA," Bradenton, Fla.", Manatee,2013,womens-track-and-field,
11,Sarah Chandler, Sprints/Hurdles, Jr.,NA,NA," Lorton, Va.", South County,2013,womens-track-and-field,
12,Briana Cherry-Bronson, Throws, Jr.,NA,NA," Naples, Fla.", Naples,2013,womens-track-and-field,
13,Julia Corley, Distance, So.,NA,NA," West Palm Beach, Fla.", Kings Academy,2013,womens-track-and-field,
14,Christine Griggs, Distance, So.,NA,NA," Ponte Vedra Beach, Fla.", Episcopal,2013,womens-track-and-field,
15,Linden Hall, Distance/Mid-Distance, Jr.,NA,NA," Melborne, Australia", Univ. of Melbourne,2013,womens-track-and-field,
16,Mollie Hibbard, Distance, Sr.,NA,NA," Satellite Beach, Fla.", Satellite,2013,womens-track-and-field,
17,Anna Holdiman, Distance, So.,NA,NA," Waverly, Iowa", Waverly-Shellrock,2013,womens-track-and-field,
18,Izehi Ileso, Tripple Jump, Sr.,NA,NA," Gothenburg, Sweden", Angeredsgymnasiet,2013,womens-track-and-field,
19,Karly Jackson, Pole Vault, R-So.,NA,NA," Orlando, Fla.", Bishop Moore,2013,womens-track-and-field,
20,Lakitta Johnson, Throws, Jr.,NA,NA," Ocala, Fla.", North Marion,2013,womens-track-and-field,
21,Kaitlyn Kelly, Distance, So.,NA,NA," Port Orange, Fla.", Spruce Creek,2013,womens-track-and-field,
22,Maggie Mccloskey, Distance, Jr.,NA,NA," Gainesville, Fla.", St. Francis Catholic,2013,womens-track-and-field,
23,Katherine Mccoy, Distance, So.,NA,NA," Altamonte Springs, Fla.", Lake Brantly,2013,womens-track-and-field,
24,Alex Midgett, Distance, So.,NA,NA," Orange Park, Fla.",NA,2013,womens-track-and-field,
25,Allyson Pagan, Distance, Sr.,NA,NA," Melbourne, Fla.", Holy Trinity,2013,womens-track-and-field,
26,Georgia Peel, Mid-Distance, So.,NA,NA," Chobham, Surrey, UK", Gordon's School,2013,womens-track-and-field,
27,Marecia Pemberton, Sprints, Sr.,NA,NA," Basse Terre, St. Kitts & Nevis", C.F.B College,2013,womens-track-and-field,
28,Christina Phipps, Distance, So.,NA,NA," Jacksonville, Fla.", Bishop Kenny,2013,womens-track-and-field,
29,Jande Pierce, Sprints, R-So.,NA,NA," Stone Mountain, Ga.", DeKalb School of Arts,2013,womens-track-and-field,
30,Ariadna Pulido, Distance, Jr.,NA,NA," Parkland, Fla.", Douglas,2013,womens-track-and-field,
31,Colleen Quigley, Distance/Steeplechase, Jr.,NA,NA," St. Louis, Mo.", Nerinx Hall,2013,womens-track-and-field,
32,Madison Schmidt, Pole Vault, Fr.,NA,NA," Sarasota, Fla.", Riverview,2013,womens-track-and-field,
33,Nicole Setterington, Hurdles, Fr.,NA,NA," London, Ontario, Canada", Oakridge,2013,womens-track-and-field,
34,Michelle Sewell,NA, Jr.,NA,NA," London, England", Cypress Bay,2013,womens-track-and-field,
35,Dana Slomins, Distance, So.,NA,NA," Melbourne, Fla.", Holy Trinity,2013,womens-track-and-field,
36,Bianca Smith,NA, Sr.,NA,NA," Fort Lauderdale, Fla.", Fort Lauderdale,2013,womens-track-and-field,
37,Megan Smith, Distance, R-Fr.,NA,NA," Memphis, Tenn.", Wharton,2013,womens-track-and-field,
38,Jensen Swopes, Distance, Jr.,NA,NA," Altamonte Springs, Fla.", Bishop Moore,2013,womens-track-and-field,
39,Carly Thomas, Distance, So.,NA,NA," Tallahassee, Fla.", Chiles,2013,womens-track-and-field,
40,Katja Vangsnes, Throws, So.,NA,NA," Oslo, Norway", Wang Eoppidrett,2013,womens-track-and-field,
41,Sage Watson, Sprints/Hurdles, So.,NA,NA," Medicine Hat, Alberta, Canada", Medicine Hat,2013,womens-track-and-field,
42,Hannah Welsh, High Jump/Multis, Fr.,NA,NA," Dunedin, Fla.", Dunedin,2013,womens-track-and-field,
43,Chelsea Whalen, Throws, Sr.,NA,NA," Liverpool, Nova Scotia, Canada", Liverpool Regional,2013,womens-track-and-field,
44,Alexandria Woodruff, Pole Vault, Fr.,NA,NA," Lake Mary, Fla.", Lake Mary,2013,womens-track-and-field,
45,Chelsi Woodruff, Distance, Sr.,NA,NA," Winter Park, Fla.", Trinity Prep,2013,womens-track-and-field,
46,Pippa Woolven, Distance/Steeplechase, Jr.,NA,NA," Marlow, Buckinghamshire, UK", Univ. of Birmingham,2013,womens-track-and-field,
47,Anne Zagre, Sprints/Hurdles, Jr.,NA,NA," Brussels, Belgium",NA,2013,womens-track-and-field,
0,Hannah Acton, Pole Vault, Jr.,NA,NA," Bloomington, Ind.", Bloomington South,2014,womens-track-and-field,
1,Marianne Aguilar, Distance, Fr.,NA,NA," Davie, Fla.", Archbishop McCarthy,2014,womens-track-and-field,
2,Kassel Ardaman, Distance, Jr.,NA,NA," Orlando, Fla.", Dr. Phillips,2014,womens-track-and-field,
3,Hollis Bartlett, Distance, Jr.,NA,NA," Fort Myers, Fla.", Fort Myers,2014,womens-track-and-field,
4,Bridget Blake, Distance/Steeplechase, R-Fr.,NA,NA," Orlando, Fla.", Dr. Phillips,2014,womens-track-and-field,
5,Chantelle Brodie, Distance, Jr.,NA,NA," Stuart, Fla.", Martin County,2014,womens-track-and-field,
6,Kiera Brown, Sprints, R-Fr.,NA,NA," Chesapeake, Va. / G.",NA,2014,womens-track-and-field,
7,Isabella Campos, Distance, So.,NA,NA," Jacksonville, Fla.", Bishop Kenny,2014,womens-track-and-field,
8,Sarah Chandler, Sprints/Hurdles, Sr.,NA,NA," Lorton, Va.", South County,2014,womens-track-and-field,
9,Kali Cilli, Distance, Fr.,NA,NA," Pembroke Pines, Fla.", Pembroke Pines Charter,2014,womens-track-and-field,
10,Stephanie Cook, Pole Vault, So.,NA,NA," Clermont, Fla.", East Ridge,2014,womens-track-and-field,
11,Rachel Davis,NA, Jr.,NA,NA," Tampa, Fla.", Newsome,2014,womens-track-and-field,
12,Kali Davis-White, Sprints, So.,NA,NA," Lauderdale Lakes, Fla.", Boyd Anderson,2014,womens-track-and-field,
13,Stacey Drilling, High Jump, So.,NA,NA," Jacksonville, Fla.", Bishop Kenny,2014,womens-track-and-field,
14,Der’Renae Freeman, Sprints/Long Jump, Jr.,NA,NA," Winter Garden, Fla.", West Orange,2014,womens-track-and-field,
15,Alison Gollnick, Throws, Fr.,NA,NA," Sarasota, Fla.", Riverview,2014,womens-track-and-field,
16,Christine Griggs, Distance, Jr.,NA,NA," Ponte Vedra Beach, Fla.", Episcopal,2014,womens-track-and-field,
17,Sophia Guinazu, Distance, Fr.,NA,NA," Wellington, Fla.", Palm Beach Central,2014,womens-track-and-field,
18,Linden Hall, Distance/Mid-Distance, Sr.,NA,NA," Melborne, Australia", Univ. of Melbourne,2014,womens-track-and-field,
19,Madison Harris, Middle Distance, Fr.,NA,NA," Ochlockonee Bay, Fla.", Wakulla,2014,womens-track-and-field,
20,Elizabeth Ichite, Sprints, R-Sr.,NA,NA," Tallahassee, Fla.", Florida High,2014,womens-track-and-field,
21,Karly Jackson, Pole Vault, R-Jr.,NA,NA," Orlando, Fla.", Bishop Moore,2014,womens-track-and-field,
22,Lexi Jackson, Distance, Fr.,NA,NA," Saint Johns, Fla.", Creekside,2014,womens-track-and-field,
23,Chelsea Jarvis, Mid-Distance, Fr.,NA,NA," St. Helens, Merseyside, UK", Carmel College,2014,womens-track-and-field,
24,Lakitta Johnson, Throws, R-Sr.,NA,NA," Ocala, Fla.", North Marion,2014,womens-track-and-field,
25,Kaitlyn Kelly, Distance, Jr.,NA,NA," Port Orange, Fla.", Spruce Creek,2014,womens-track-and-field,
26,Annie Kennedy, Distance, Fr.,NA,NA," Jacksonville, Fla.", Bishop Kenny,2014,womens-track-and-field,
27,Kellion Knibb, Throws, Jr.,NA,NA," St. Catherine, Jamaica", St. Jago,2014,womens-track-and-field,
28,Araceli Leon, Distance, Fr.,NA,NA," Fort Myers, Fla.", Estero,2014,womens-track-and-field,
29,Alejandra Martinez, Multis, Sr.,NA,NA," Potomac, Md.", Winston Churchill,2014,womens-track-and-field,
30,Alex Midgett, Distance, Jr.,NA,NA," Orange Park, Fla.",NA,2014,womens-track-and-field,
31,Sydnee Over, Mid-Distance, So.,NA,NA," Windsor, Conn.", Windsor,2014,womens-track-and-field,
32,Georgia Peel, Mid-Distance, Jr.,NA,NA," Chobham, Surrey, UK", Gordon's School,2014,womens-track-and-field,
33,Jogaile Petrokaite, Long Jump, Fr.,NA,NA," Raseiniai, Lithuania", Zemaitis Gymnasium,2014,womens-track-and-field,
34,Christina Phipps, Distance, Jr.,NA,NA," Jacksonville, Fla.", Bishop Kenny,2014,womens-track-and-field,
35,Jande Pierce, Sprints, R-Jr.,NA,NA," Stone Mountain, Ga.", DeKalb School of Arts,2014,womens-track-and-field,
36,Bella Poole, Distance, Fr.,NA,NA," Ponte Vedra Beach, Fla.", Ponte Vedra,2014,womens-track-and-field,
37,Ariadna Pulido, Distance, Sr.,NA,NA," Parkland, Fla.", Douglas,2014,womens-track-and-field,
38,Colleen Quigley, Distance/Steeplechase, Sr.,NA,NA," St. Louis, Mo.", Nerinx Hall,2014,womens-track-and-field,
39,Victoria Reiman, Throws, R-So.,NA,NA," Jacksonville, Fla.", Bolles,2014,womens-track-and-field,
40,Tara Rooney, Distance, Fr.,NA,NA," Vernon Hills, Ill.", Vernon Hills,2014,womens-track-and-field,
41,Madison Scanlan, Distance, Fr.,NA,NA," Tampa, Fla.", Robinson,2014,womens-track-and-field,
42,Madison Schmidt, Pole Vault, So.,NA,NA," Sarasota, Fla.", Riverview,2014,womens-track-and-field,
43,Nicole Setterington, Hurdles, So.,NA,NA," London, Ontario, Canada", Oakridge,2014,womens-track-and-field,
44,Haley Slocum, Distance, So.,NA,NA," Windermere, Fla.", Bishop Moore,2014,womens-track-and-field,
45,Dana Slomins, Distance, Jr.,NA,NA," Melbourne, Fla.", Holy Trinity,2014,womens-track-and-field,
46,Helene Swanepoel, Sprints/Hurdles, Fr.,NA,NA," Wellington, South Africa",NA,2014,womens-track-and-field,
47,Jensen Swopes, Distance, Sr.,NA,NA," Altamonte Springs, Fla.", Bishop Moore,2014,womens-track-and-field,
48,Briana Thaler, Pole Vault, Fr.,NA,NA," Davie, Fla.", St. Thomas Aquinas,2014,womens-track-and-field,
49,Carly Thomas, Distance, Jr.,NA,NA," Tallahassee, Fla.", Chiles,2014,womens-track-and-field,
50,Kayla Thomas, Mid-Distance, Fr.,NA,NA," Jacksonville, Fla.", Stanton Prep,2014,womens-track-and-field,
51,Katja Vangsnes, Throws, Jr.,NA,NA," Oslo, Norway", Wang Eoppidrett,2014,womens-track-and-field,
52,Sage Watson, Sprints/Hurdles, R-So.,NA,NA," Medicine Hat, Alberta, Canada", Medicine Hat,2014,womens-track-and-field,
53,Hannah Welsh, High Jump/Multis, R-Fr.,NA,NA," Dunedin, Fla.", Dunedin,2014,womens-track-and-field,
54,Courteney West, Distance, So.,NA,NA," Great Falls, Va.", Langley,2014,womens-track-and-field,
55,Alexandria Woodruff, Pole Vault, So.,NA,NA," Lake Mary, Fla.", Lake Mary,2014,womens-track-and-field,
56,Chelsi Woodruff, Distance, R-Sr.,NA,NA," Winter Park, Fla.", Trinity Prep,2014,womens-track-and-field,
57,Pippa Woolven, Distance/Steeplechase, Sr.,NA,NA," Marlow, Buckinghamshire, UK", Univ. of Birmingham,2014,womens-track-and-field,
58,Pippa Woolven, Distance/Steeplechase, Sr.,NA,NA," Marlow, Buckinghamshire, UK", Univ. of Birmingham,2014,womens-track-and-field,
59,Forever Young, Distance, Fr.,NA,NA," Daytona Beach, Fla.", Seabreeze,2014,womens-track-and-field,
0,Hannah Acton, Pole Vault, Sr.,NA,NA," Bloomington, Ind.", Bloomington South,2015,womens-track-and-field,
1,Marianne Aguilar, distance, So.,NA,NA," Davie, Fla.", Archbishop McCarthy,2015,womens-track-and-field,
2,Carmela Baez, Distance, Fr.,NA,NA," Vigo, Spain", IES do Castro,2015,womens-track-and-field,
